Start Running : 0 sec
Injection Start : 29 sec
Injection Finished : 209 sec
Stabilization Start : 260 sec
Stabilization End : 680 sec
Injection Start : 708 sec
Injection Finished : 888 sec
Stabilization Start : 938 sec
Stabilization End : 1358 sec
Injection Start : 1386 sec
Injection Finished : 1567 sec
Stabilization Start : 1617 sec
Stabilization End : 2037 sec
Injection Start : 2066 sec
Injection Finished : 2246 sec
Stabilization Start : 2296 sec
Stabilization End : 2716 sec
Injection Start : 2744 sec
Injection Finished : 2925 sec
Stabilization Start : 2975 sec
Stabilization End : 3395 sec
Injection Start : 3423 sec
Injection Finished : 3604 sec
Stabilization Start : 3654 sec
Stabilization End : 4074 sec
Injection Start : 4102 sec
Injection Finished : 4283 sec
Stabilization Start : 4333 sec
Stabilization End : 4753 sec
Injection Start : 4781 sec
Injection Finished : 4962 sec
Stabilization Start : 5012 sec
Stabilization End : 5432 sec
Injection Start : 5461 sec
Injection Finished : 5641 sec
Stabilization Start : 5691 sec
Stabilization End : 6111 sec
Injection Start : 6140 sec
Injection Finished : 6320 sec
Stabilization Start : 6371 sec
Stabilization End : 6791 sec
Injection Start : 6819 sec
Injection Finished : 6999 sec
Stabilization Start : 7050 sec
Stabilization End : 7470 sec
Injection Start : 7497 sec
Injection Finished : 7678 sec
Stabilization Start : 7728 sec
Stabilization End : 8148 sec
Injection Start : 8176 sec
Injection Finished : 8357 sec
Stabilization Start : 8407 sec
Stabilization End : 8827 sec
Injection Start : 8855 sec
Injection Finished : 9036 sec
Stabilization Start : 9086 sec
Stabilization End : 9506 sec
Injection Start : 9534 sec
Injection Finished : 9715 sec
Stabilization Start : 9765 sec
Stabilization End : 10185 sec
Injection Start : 10213 sec
Injection Finished : 10393 sec
Stabilization Start : 10444 sec
Stabilization End : 10864 sec
Injection Start : 10893 sec
Injection Finished : 11073 sec
Stabilization Start : 11124 sec
Stabilization End : 11544 sec
Injection Start : 11572 sec
Injection Finished : 11752 sec
Stabilization Start : 11803 sec
Stabilization End : 12223 sec
Injection Start : 12251 sec
Injection Finished : 12431 sec
Stabilization Start : 12482 sec
Stabilization End : 12902 sec
Injection Start : 12930 sec
Injection Finished : 13111 sec
Stabilization Start : 13161 sec
Stabilization End : 13581 sec
Injection Start : 13609 sec
Injection Finished : 13789 sec
Stabilization Start : 13840 sec
Stabilization End : 14260 sec
Injection Start : 14288 sec
Injection Finished : 14468 sec
Stabilization Start : 14519 sec
Stabilization End : 14939 sec
Injection Start : 14967 sec
Injection Finished : 15148 sec
Stabilization Start : 15198 sec
Stabilization End : 15618 sec
Injection Start : 15646 sec
Injection Finished : 15827 sec
Stabilization Start : 15877 sec
Stabilization End : 16297 sec
Injection Start : 16326 sec
Injection Finished : 16507 sec
Stabilization Start : 16557 sec
Stabilization End : 16977 sec
Injection Start : 17006 sec
Injection Finished : 17186 sec
Stabilization Start : 17237 sec
Stabilization End : 17657 sec
Injection Start : 17685 sec
Injection Finished : 17865 sec
Stabilization Start : 17916 sec
Stabilization End : 18336 sec
Injection Start : 18364 sec
Injection Finished : 18545 sec
Stabilization Start : 18595 sec
Stabilization End : 19015 sec
Injection Start : 19044 sec
Injection Finished : 19224 sec
Stabilization Start : 19275 sec
Stabilization End : 19695 sec
Injection Start : 19723 sec
Injection Finished : 19904 sec
Stabilization Start : 19954 sec
Stabilization End : 20374 sec
Injection Start : 20402 sec
Injection Finished : 20583 sec
Stabilization Start : 20634 sec
Stabilization End : 21054 sec
Injection Start : 21082 sec
Injection Finished : 21262 sec
Stabilization Start : 21313 sec
Stabilization End : 21733 sec
Injection Start : 21762 sec
Injection Finished : 21942 sec
Stabilization Start : 21993 sec
Stabilization End : 22413 sec
Injection Start : 22441 sec
Injection Finished : 22622 sec
Stabilization Start : 22672 sec
Stabilization End : 23092 sec
Injection Start : 23120 sec
Injection Finished : 23301 sec
Stabilization Start : 23351 sec
Stabilization End : 23771 sec
Injection Start : 23800 sec
Injection Finished : 23980 sec
Stabilization Start : 24031 sec
Stabilization End : 24451 sec
Injection Start : 24479 sec
Injection Finished : 24660 sec
Stabilization Start : 24710 sec
Stabilization End : 25130 sec
Injection Start : 25159 sec
Injection Finished : 25339 sec
Stabilization Start : 25390 sec
Stabilization End : 25810 sec
Injection Start : 25838 sec
Injection Finished : 26019 sec
Stabilization Start : 26069 sec
Stabilization End : 26489 sec
Injection Start : 26517 sec
Injection Finished : 26698 sec
Stabilization Start : 26749 sec
Stabilization End : 27169 sec
Injection Start : 27197 sec
Injection Finished : 27378 sec
Stabilization Start : 27429 sec
Stabilization End : 27849 sec
Injection Start : 27877 sec
Injection Finished : 28057 sec
Stabilization Start : 28108 sec
Stabilization End : 28528 sec
Injection Start : 28556 sec
Injection Finished : 28737 sec
Stabilization Start : 28788 sec
Stabilization End : 29208 sec
Injection Start : 29236 sec
Injection Finished : 29416 sec
Stabilization Start : 29467 sec
Stabilization End : 29887 sec
Injection Start : 29916 sec
Injection Finished : 30096 sec
Stabilization Start : 30147 sec
Stabilization End : 30567 sec
Injection Start : 30595 sec
Injection Finished : 30776 sec
Stabilization Start : 30826 sec
Stabilization End : 31246 sec
Injection Start : 31274 sec
Injection Finished : 31455 sec
Stabilization Start : 31505 sec
Stabilization End : 31925 sec
Injection Start : 31954 sec
Injection Finished : 32134 sec
Stabilization Start : 32185 sec
Stabilization End : 32605 sec
Running Finished : 32605 sec
