Start Running : 0 sec
Injection Start : 29 sec
Injection Finished : 209 sec
Stabilization Start : 260 sec
Stabilization End : 680 sec
Injection Start : 708 sec
Injection Finished : 888 sec
Stabilization Start : 939 sec
Stabilization End : 1359 sec
Injection Start : 1387 sec
Injection Finished : 1567 sec
Stabilization Start : 1617 sec
Stabilization End : 2037 sec
Injection Start : 2065 sec
Injection Finished : 2246 sec
Stabilization Start : 2296 sec
Stabilization End : 2716 sec
Injection Start : 2744 sec
Injection Finished : 2925 sec
Stabilization Start : 2975 sec
Stabilization End : 3395 sec
Injection Start : 3423 sec
Injection Finished : 3604 sec
Stabilization Start : 3654 sec
Stabilization End : 4074 sec
Injection Start : 4102 sec
Injection Finished : 4283 sec
Stabilization Start : 4333 sec
Stabilization End : 4753 sec
Injection Start : 4781 sec
Injection Finished : 4962 sec
Stabilization Start : 5012 sec
Stabilization End : 5432 sec
Injection Start : 5460 sec
Injection Finished : 5641 sec
Stabilization Start : 5691 sec
Stabilization End : 6111 sec
Injection Start : 6139 sec
Injection Finished : 6320 sec
Stabilization Start : 6370 sec
Stabilization End : 6790 sec
Injection Start : 6818 sec
Injection Finished : 6999 sec
Stabilization Start : 7049 sec
Stabilization End : 7469 sec
Injection Start : 7497 sec
Injection Finished : 7678 sec
Stabilization Start : 7728 sec
Stabilization End : 8148 sec
Injection Start : 8176 sec
Injection Finished : 8357 sec
Stabilization Start : 8407 sec
Stabilization End : 8827 sec
Injection Start : 8855 sec
Injection Finished : 9035 sec
Stabilization Start : 9086 sec
Stabilization End : 9506 sec
Injection Start : 9534 sec
Injection Finished : 9714 sec
Stabilization Start : 9765 sec
Stabilization End : 10185 sec
Injection Start : 10213 sec
Injection Finished : 10393 sec
Stabilization Start : 10444 sec
Stabilization End : 10864 sec
Injection Start : 10892 sec
Injection Finished : 11073 sec
Stabilization Start : 11124 sec
Stabilization End : 11544 sec
Injection Start : 11572 sec
Injection Finished : 11752 sec
Stabilization Start : 11803 sec
Stabilization End : 12223 sec
Injection Start : 12251 sec
Injection Finished : 12431 sec
Stabilization Start : 12482 sec
Stabilization End : 12902 sec
Injection Start : 12930 sec
Injection Finished : 13110 sec
Stabilization Start : 13161 sec
Stabilization End : 13581 sec
Injection Start : 13609 sec
Injection Finished : 13789 sec
Stabilization Start : 13840 sec
Stabilization End : 14260 sec
Injection Start : 14288 sec
Injection Finished : 14468 sec
Stabilization Start : 14519 sec
Stabilization End : 14939 sec
Injection Start : 14967 sec
Injection Finished : 15148 sec
Stabilization Start : 15198 sec
Stabilization End : 15618 sec
Injection Start : 15646 sec
Injection Finished : 15827 sec
Stabilization Start : 15877 sec
Stabilization End : 16297 sec
Injection Start : 16326 sec
Injection Finished : 16506 sec
Stabilization Start : 16557 sec
Stabilization End : 16977 sec
Injection Start : 17005 sec
Injection Finished : 17186 sec
Stabilization Start : 17236 sec
Stabilization End : 17656 sec
Injection Start : 17684 sec
Injection Finished : 17865 sec
Stabilization Start : 17915 sec
Stabilization End : 18335 sec
Injection Start : 18364 sec
Injection Finished : 18544 sec
Stabilization Start : 18595 sec
Stabilization End : 19015 sec
Injection Start : 19043 sec
Injection Finished : 19223 sec
Stabilization Start : 19274 sec
Stabilization End : 19694 sec
Injection Start : 19722 sec
Injection Finished : 19903 sec
Stabilization Start : 19953 sec
Stabilization End : 20373 sec
Injection Start : 20402 sec
Injection Finished : 20582 sec
Stabilization Start : 20633 sec
Stabilization End : 21053 sec
Injection Start : 21081 sec
Injection Finished : 21261 sec
Stabilization Start : 21312 sec
Stabilization End : 21732 sec
Injection Start : 21761 sec
Injection Finished : 21941 sec
Stabilization Start : 21992 sec
Stabilization End : 22412 sec
Injection Start : 22440 sec
Injection Finished : 22621 sec
Stabilization Start : 22671 sec
Stabilization End : 23091 sec
Injection Start : 23119 sec
Injection Finished : 23300 sec
Stabilization Start : 23350 sec
Stabilization End : 23770 sec
Injection Start : 23799 sec
Injection Finished : 23979 sec
Stabilization Start : 24030 sec
Stabilization End : 24450 sec
Injection Start : 24478 sec
Injection Finished : 24659 sec
Stabilization Start : 24709 sec
Stabilization End : 25129 sec
Injection Start : 25157 sec
Injection Finished : 25338 sec
Stabilization Start : 25388 sec
Stabilization End : 25808 sec
Injection Start : 25837 sec
Injection Finished : 26017 sec
Stabilization Start : 26068 sec
Stabilization End : 26488 sec
Injection Start : 26516 sec
Injection Finished : 26697 sec
Stabilization Start : 26747 sec
Stabilization End : 27167 sec
Injection Start : 27196 sec
Injection Finished : 27377 sec
Stabilization Start : 27427 sec
Stabilization End : 27847 sec
Injection Start : 27876 sec
Injection Finished : 28056 sec
Stabilization Start : 28107 sec
Stabilization End : 28527 sec
Injection Start : 28555 sec
Injection Finished : 28736 sec
Stabilization Start : 28786 sec
Stabilization End : 29206 sec
Injection Start : 29235 sec
Injection Finished : 29415 sec
Stabilization Start : 29466 sec
Stabilization End : 29886 sec
Injection Start : 29914 sec
Injection Finished : 30095 sec
Stabilization Start : 30145 sec
Stabilization End : 30565 sec
Injection Start : 30594 sec
Injection Finished : 30774 sec
Stabilization Start : 30825 sec
Stabilization End : 31245 sec
Injection Start : 31273 sec
Injection Finished : 31454 sec
Stabilization Start : 31504 sec
Stabilization End : 31924 sec
Injection Start : 31952 sec
Injection Finished : 32133 sec
Stabilization Start : 32183 sec
Stabilization End : 32603 sec
Running Finished : 32603 sec
