Start Running : 0 sec
Injection Start : 29 sec
Injection Finished : 209 sec
Stabilization Start : 260 sec
Stabilization End : 680 sec
Injection Start : 708 sec
Injection Finished : 888 sec
Stabilization Start : 938 sec
Stabilization End : 1358 sec
Injection Start : 1386 sec
Injection Finished : 1567 sec
Stabilization Start : 1617 sec
Stabilization End : 2037 sec
Injection Start : 2065 sec
Injection Finished : 2246 sec
Stabilization Start : 2296 sec
Stabilization End : 2716 sec
Injection Start : 2744 sec
Injection Finished : 2925 sec
Stabilization Start : 2975 sec
Stabilization End : 3395 sec
Injection Start : 3423 sec
Injection Finished : 3603 sec
Stabilization Start : 3654 sec
Stabilization End : 4074 sec
Injection Start : 4102 sec
Injection Finished : 4282 sec
Stabilization Start : 4333 sec
Stabilization End : 4753 sec
Injection Start : 4781 sec
Injection Finished : 4962 sec
Stabilization Start : 5012 sec
Stabilization End : 5432 sec
Injection Start : 5460 sec
Injection Finished : 5641 sec
Stabilization Start : 5691 sec
Stabilization End : 6111 sec
Injection Start : 6139 sec
Injection Finished : 6320 sec
Stabilization Start : 6370 sec
Stabilization End : 6790 sec
Injection Start : 6818 sec
Injection Finished : 6999 sec
Stabilization Start : 7049 sec
Stabilization End : 7469 sec
Injection Start : 7497 sec
Injection Finished : 7678 sec
Stabilization Start : 7728 sec
Stabilization End : 8148 sec
Injection Start : 8176 sec
Injection Finished : 8357 sec
Stabilization Start : 8407 sec
Stabilization End : 8827 sec
Injection Start : 8855 sec
Injection Finished : 9036 sec
Stabilization Start : 9086 sec
Stabilization End : 9506 sec
Injection Start : 9534 sec
Injection Finished : 9715 sec
Stabilization Start : 9765 sec
Stabilization End : 10185 sec
Injection Start : 10213 sec
Injection Finished : 10394 sec
Stabilization Start : 10444 sec
Stabilization End : 10864 sec
Injection Start : 10893 sec
Injection Finished : 11073 sec
Stabilization Start : 11124 sec
Stabilization End : 11544 sec
Injection Start : 11572 sec
Injection Finished : 11753 sec
Stabilization Start : 11803 sec
Stabilization End : 12223 sec
Injection Start : 12251 sec
Injection Finished : 12432 sec
Stabilization Start : 12482 sec
Stabilization End : 12902 sec
Injection Start : 12930 sec
Injection Finished : 13111 sec
Stabilization Start : 13161 sec
Stabilization End : 13581 sec
Injection Start : 13609 sec
Injection Finished : 13790 sec
Stabilization Start : 13840 sec
Stabilization End : 14260 sec
Injection Start : 14288 sec
Injection Finished : 14469 sec
Stabilization Start : 14519 sec
Stabilization End : 14939 sec
Injection Start : 14967 sec
Injection Finished : 15148 sec
Stabilization Start : 15198 sec
Stabilization End : 15618 sec
Injection Start : 15646 sec
Injection Finished : 15827 sec
Stabilization Start : 15877 sec
Stabilization End : 16297 sec
Running Finished : 16297 sec
